categoria;categoria_id;codigo_barra;marca;marca_id;nombre;precio;precio_lista;producto_id;sku_id;stock;url
Hierbas y Especias;383;7798040890264;Mir;2000012;HUMO LIQUID S.GIORG X70ML;1829.99;1829.99;192429;23585;17;https://www.hiperlibertad.com.ar/humo-liquido-san-giorgio-x-70-ml/p
Hierbas y Especias;383;7798040890332;San Giorgio;2000324;PIMENTON AHUMADO SAN GIORGIO X 40 Gr;1909.99;1909.99;192414;23584;20;https://www.hiperlibertad.com.ar/pimenton-ahumado-san-giorgio-x-40-gr/p
Hierbas y Especias;383;2192411000002;San Giorgio;2000324;PIMENTON PREMIUM SAN GIORGIO X 40 Gr;1669.99;1669.99;192411;29491;8;https://www.hiperlibertad.com.ar/pimenton-premium-san-giorgio-x-40-gr/p
Hierbas y Especias;383;7792900092829;Dos Anclas;2000292;MEZCLA DE ESPECIAS DOS ANCLAS X 25 Gr;117.99;117.99;154503;24403;36;https://www.hiperlibertad.com.ar/mezcla-de-especias-dos-anclas-x-25-gr/p
Hierbas y Especias;383;7792900092812;Dos Anclas;2000292;LAUREL TRITURADO DOS ANCLAS X 25 Gr;177.0;177.0;154499;24402;30;https://www.hiperlibertad.com.ar/laurel-triturado-dos-anclas-x-25-gr/p
Pimienta;384;7790150555446;Alicante;2000337;PIMIENTA NEGRA MOLIDA ALICANTE X 25 Gr;146.99;146.99;485350;29315;50;https://www.hiperlibertad.com.ar/pimienta-negra-molida-alicante-x-25-gr/p
Pimienta;384;7790150556368;Alicante;2000337;PIMIENTA NEGRA EN GRANO ALICANTE X 25 Gr;150.99;150.99;483952;30689;33;https://www.hiperlibertad.com.ar/pimienta-negra-en-grano-alicante-x-25-gr/p
Pimienta;384;7796373112206;La Parmesana;2000336;AJÍ MOLIDO LA PARMESANA;75.0;75.0;467578;19114;5;https://www.hiperlibertad.com.ar/aji-molido-la-parmesana/p
Pimienta;384;7790150550465;Alicante;2000337;PIMIENTA BLANCA MOLIDA ALICANTE X 50 GR;383.99;383.99;493591;35945;2;https://www.hiperlibertad.com.ar/pimienta-blanca-molida-alicante-x-50-gr/p
Pimienta;384;7796373000374;La Parmesana;2000336;Pimienta Negra En Grano La Parmesana 25 Gr;358.0;358.0;380118;14065;22;https://www.hiperlibertad.com.ar/pimienta-negra-en-grano-la-parmesana-25-gr/p
Pimienta;384;7790072179720;Mir;2000012;PIMIEN NEGRA CELU SOB X25  GR.;242.0;242.0;466666;18668;7;https://www.hiperlibertad.com.ar/pimienta-negra-celusal-sob-x-25gr/p
Pimienta;384;7796373002422;La Parmesana;2000336;PIMIENTA NEGRA MOLIDA LA PARMESANA X 50 Gr;215.0;215.0;244807;21001;24;https://www.hiperlibertad.com.ar/pimienta-negra-molida-la-parmesana-x-50-gr/p
Pimienta;384;7792900009162;Dos Anclas;2000292;Pimienta Negra Dos Anclas Molida 25 Gr;241.92;241.92;203312;14114;168;https://www.hiperlibertad.com.ar/pimienta-negra-dos-anclas-molida-25-gr/p
Pimienta;384;7792900009025;Dos Anclas;2000292;PIMIENTA BLANCA MOLIDA DOS ANCLAS.X 25 Gr;222.0;222.0;33084;24394;9;https://www.hiperlibertad.com.ar/pimienta-blanca-molida-dos-anclas-x-25-gr/p
Maní;387;7790524323886;Croppers;2000364;MANÍ FRITO CROPPERS C/SAL X340;401.99;401.99;468386;17764;109;https://www.hiperlibertad.com.ar/mani-frito-croppers-c-sal-x340/p
Maní;387;7790524324043;Croppers;2000364;MANI CROPPERS TOSTADO SALADO SIN PIEL X 100 Gr;164.99;164.99;482977;28695;136;https://www.hiperlibertad.com.ar/mani-croppers-tostado-salado-sin-piel-x-100-gr/p
Maní;387;7790524324111;Croppers;2000364;MANI CROPPERS CON CASCARA X 280 Gr;319.0;319.0;482362;27347;88;https://www.hiperlibertad.com.ar/mani-croppers-con-cascara-x-280-gr/p
Maní;387;7798151952738;King;2000771;MANI KING SAL DOY PACKX500GRS;825.0;825.0;456851;12448;323;https://www.hiperlibertad.com.ar/mani-king-sal-doy-packx500grs/p
Maní;387;7790524000442;Croppers;2000364;Mani Salado Sin Piel Croppers 45 Gr;55.99;55.99;384816;12921;19;https://www.hiperlibertad.com.ar/mani-salado-sin-piel-croppers-45-gr/p
Maní;387;7798151953070;Maní King;2001437;MANI KING FRITO SALADO CON PIEL X 500 Gr;1072.0;1072.0;485423;29693;70;https://www.hiperlibertad.com.ar/mani-king-frito-salado-con-piel-x-500-gr/p
